Cluster ID;size;profile_id;Year of date;Month of date;#bookings;#comments;#favourites;#improvements;#likes;#messages;#relationships;#replies;#responses;#reviews;#topics;points;ratio;std dev;impact;std dev impact
2009;108;148;2014;3;0;0;0;0;2;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;148;2015;4;0;0;1;0;0;0;0;0;0;0;0;1;0,00;0,00;0,00;0,00
2009;108;148;2015;11;0;0;0;0;2;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;148;2016;3;0;0;0;0;0;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00
2009;108;207;2014;8;0;0;0;0;0;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00
2009;108;207;2016;10;0;0;0;0;1;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;330;2014;9;0;0;0;0;0;1;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;330;2016;6;0;0;0;0;9;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;417;2014;7;0;0;0;0;1;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;417;2015;7;0;0;3;0;0;0;0;0;0;2;0;12;0,00;0,00;0,00;0,00
2009;108;417;2016;1;0;0;0;0;0;0;0;0;0;1;0;5;0,00;0,00;0,00;0,00
2009;108;428;2014;4;0;0;1;0;0;0;0;0;0;0;0;1;0,00;0,00;0,00;0,00
2009;108;428;2016;4;0;0;0;0;1;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00
2009;108;522;2014;1;0;0;1;0;0;0;0;0;0;0;0;1;0,00;0,00;0,00;0,00
2009;108;522;2014;2;0;0;0;0;0;0;0;0;2;0;0;0;0,00;0,00;0,00;0,00
2009;108;522;2014;6;0;0;0;0;0;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00
2009;108;522;2014;12;0;0;0;0;1;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00
2009;108;522;2016;6;0;0;0;0;20;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;600;2014;1;0;5;2;0;0;0;9;36;11;0;1;0;0,00;0,00;0,00;0,00
2009;108;600;2014;2;0;0;0;0;0;0;0;2;6;1;0;21;0,00;0,00;3,00;0,00
2009;108;600;2014;3;0;0;0;1;1;0;0;2;0;1;0;40;0,00;0,00;1,00;0,00
2009;108;600;2014;4;0;0;0;2;0;0;1;0;0;0;0;30;0,00;0,00;0,00;0,00
2009;108;600;2014;5;0;0;1;0;1;0;2;0;0;2;0;32;0,00;0,00;0,00;0,00
2009;108;600;2014;6;0;2;0;0;2;1;9;95;6;5;2;89;0,00;0,00;0,00;0,00
2009;108;600;2014;7;0;0;0;145;3;0;2;115;12;3;1;2230;0,00;0,00;0,00;0,00
2009;108;600;2014;8;0;0;0;0;0;0;0;1;0;3;0;75;0,00;0,00;0,00;0,00
